Час,Flow ID,Протокол,Пакети,Байти,Прогноз,Ймовірність
17:42:18,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:20,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:21,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:22,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:24,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:25,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:26,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:28,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:29,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:30,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:31,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:32,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:34,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:34,35.186.224.26:443-192.168.1.207:54856-17,17,10,6047,DDoS,0.7505
17:42:35,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:35,35.186.224.26:443-192.168.1.207:54856-17,17,10,6047,DDoS,0.7505
17:42:36,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:36,35.186.224.26:443-192.168.1.207:54856-17,17,10,6047,DDoS,0.7505
17:42:37,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:37,35.186.224.26:443-192.168.1.207:54856-17,17,10,6047,DDoS,0.7505
17:42:38,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:38,35.186.224.26:443-192.168.1.207:54856-17,17,10,6047,DDoS,0.7505
17:42:40,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:40,35.186.224.26:443-192.168.1.207:54856-17,17,10,6047,DDoS,0.7505
17:42:41,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:41,35.186.224.26:443-192.168.1.207:54856-17,17,10,6047,DDoS,0.7505
17:42:42,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:42,35.186.224.26:443-192.168.1.207:54856-17,17,10,6047,DDoS,0.7505
17:42:43,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:43,35.186.224.26:443-192.168.1.207:54856-17,17,10,6047,DDoS,0.7505
17:42:44,35.186.224.24:443-192.168.1.207:59813-17,17,10,6043,DDoS,0.7455
17:42:44,35.186.224.26:443-192.168.1.207:54856-17,17,10,6047,DDoS,0.7505
20:33:02,35.186.224.24:443-192.168.1.207:56043-17,17,10,6039,DDoS,0.7487
20:33:04,35.186.224.24:443-192.168.1.207:56043-17,17,10,6039,DDoS,0.7487
20:33:05,35.186.224.24:443-192.168.1.207:56043-17,17,10,6039,DDoS,0.7487
20:33:06,35.186.224.24:443-192.168.1.207:56043-17,17,10,6039,DDoS,0.7487
20:33:07,35.186.224.24:443-192.168.1.207:56043-17,17,10,6039,DDoS,0.7487
20:33:08,35.186.224.24:443-192.168.1.207:56043-17,17,10,6039,DDoS,0.7487
20:33:09,35.186.224.24:443-192.168.1.207:56043-17,17,10,6039,DDoS,0.7487
20:33:11,35.186.224.24:443-192.168.1.207:56043-17,17,10,6039,DDoS,0.7487
20:33:12,35.186.224.24:443-192.168.1.207:56043-17,17,10,6039,DDoS,0.7487
20:33:13,35.186.224.24:443-192.168.1.207:56043-17,17,10,6039,DDoS,0.7487
20:33:14,35.186.224.24:443-192.168.1.207:56043-17,17,10,6039,DDoS,0.7487
20:33:15,35.186.224.24:443-192.168.1.207:56043-17,17,10,6039,DDoS,0.7487
20:33:16,35.186.224.24:443-192.168.1.207:56043-17,17,10,6039,DDoS,0.7487
20:33:18,35.186.224.24:443-192.168.1.207:56043-17,17,10,6039,DDoS,0.7487
20:43:20,224.0.0.22:0-192.168.1.207:0-2,2,8,136,DDoS,0.9998
20:43:21,224.0.0.22:0-192.168.1.207:0-2,2,8,136,DDoS,0.9998
20:43:22,224.0.0.22:0-192.168.1.207:0-2,2,8,136,DDoS,0.9998
20:43:24,224.0.0.22:0-192.168.1.207:0-2,2,8,136,DDoS,0.9998
20:43:26,224.0.0.22:0-192.168.1.207:0-2,2,8,136,DDoS,0.9998
20:43:27,224.0.0.22:0-192.168.1.207:0-2,2,8,136,DDoS,0.9998
20:43:30,224.0.0.22:0-192.168.1.207:0-2,2,8,136,DDoS,0.9998
20:43:31,224.0.0.22:0-192.168.1.207:0-2,2,8,136,DDoS,0.9998
20:43:32,224.0.0.22:0-192.168.1.207:0-2,2,8,136,DDoS,0.9998
20:43:33,224.0.0.22:0-192.168.1.207:0-2,2,9,152,DDoS,0.9999
20:43:35,224.0.0.22:0-192.168.1.207:0-2,2,17,280,DDoS,0.9999
20:43:35,239.255.255.250:1900-192.168.1.207:51134-17,17,6,866,DDoS,0.9999
20:43:35,192.168.1.207:51134-192.168.1.1:1900-17,17,6,2070,DDoS,0.9999
20:43:35,239.255.255.250:3702-192.168.1.207:63803-17,17,15,16365,DDoS,0.9999
20:43:35,224.0.0.251:5353-192.168.1.207:5353-17,17,5,310,DDoS,0.9999
20:43:36,224.0.0.22:0-192.168.1.207:0-2,2,18,296,DDoS,0.9999
20:43:36,239.255.255.250:1900-192.168.1.207:51134-17,17,6,866,DDoS,0.9999
20:43:36,192.168.1.207:51134-192.168.1.1:1900-17,17,6,2070,DDoS,0.9999
20:43:36,239.255.255.250:3702-192.168.1.207:63803-17,17,16,17456,DDoS,0.9999
20:43:36,224.0.0.22:0-192.168.1.137:0-2,2,5,110,DDoS,0.9999
